page,uri,status,request-error
2,Whatsapp%20pics/Duane%20lee%20avocado%20problem.jpg,NA,Invalid URL 'Whatsapp%20pics/Duane%20lee%20avocado%20problem.jpg': No schema supplied. Perhaps you meant http://Whatsapp%20pics/Duane%20lee%20avocado%20problem.jpg?
2,Whatsapp%20pics/duane%20lee%20coconut%20tree%20problems.jpg,NA,Invalid URL 'Whatsapp%20pics/duane%20lee%20coconut%20tree%20problems.jpg': No schema supplied. Perhaps you meant http://Whatsapp%20pics/duane%20lee%20coconut%20tree%20problems.jpg?
2,Whatsapp%20pics/duane%20lee%20papaya%20problem.jpg,NA,Invalid URL 'Whatsapp%20pics/duane%20lee%20papaya%20problem.jpg': No schema supplied. Perhaps you meant http://Whatsapp%20pics/duane%20lee%20papaya%20problem.jpg?
2,Whatsapp%20pics/jeff%20whatsapp%20plant%20problem.jpg,NA,Invalid URL 'Whatsapp%20pics/jeff%20whatsapp%20plant%20problem.jpg': No schema supplied. Perhaps you meant http://Whatsapp%20pics/jeff%20whatsapp%20plant%20problem.jpg?
2,Whatsapp%20pics/Kyle%20messaging%20using%20Whatsapp.jpg,NA,Invalid URL 'Whatsapp%20pics/Kyle%20messaging%20using%20Whatsapp.jpg': No schema supplied. Perhaps you meant http://Whatsapp%20pics/Kyle%20messaging%20using%20Whatsapp.jpg?
2,Whatsapp%20pics/kyle%20pepper%20problem.jpg,NA,Invalid URL 'Whatsapp%20pics/kyle%20pepper%20problem.jpg': No schema supplied. Perhaps you meant http://Whatsapp%20pics/kyle%20pepper%20problem.jpg?
2,Whatsapp%20pics/mike%20pest%20id.jpg,NA,Invalid URL 'Whatsapp%20pics/mike%20pest%20id.jpg': No schema supplied. Perhaps you meant http://Whatsapp%20pics/mike%20pest%20id.jpg?
2,Whatsapp%20pics/Rose%20pest%20problems%20on%20ornamentals.jpg,NA,Invalid URL 'Whatsapp%20pics/Rose%20pest%20problems%20on%20ornamentals.jpg': No schema supplied. Perhaps you meant http://Whatsapp%20pics/Rose%20pest%20problems%20on%20ornamentals.jpg?
2,Whatsapp%20pics/steve%20whatsapp%20mango%20problem.jpg,NA,Invalid URL 'Whatsapp%20pics/steve%20whatsapp%20mango%20problem.jpg': No schema supplied. Perhaps you meant http://Whatsapp%20pics/steve%20whatsapp%20mango%20problem.jpg?
2,Whatsapp%20pics/tommy%20pests%20on%20citrus.jpg,NA,Invalid URL 'Whatsapp%20pics/tommy%20pests%20on%20citrus.jpg': No schema supplied. Perhaps you meant http://Whatsapp%20pics/tommy%20pests%20on%20citrus.jpg?
2,December%202020%20FCAG%20bags/December%202020%20curbside%20mixed%20local%20produce%20bag.jpg,NA,Invalid URL 'December%202020%20FCAG%20bags/December%202020%20curbside%20mixed%20local%20produce%20bag.jpg': No schema supplied. Perhaps you meant http://December%202020%20FCAG%20bags/December%202020%20curbside%20mixed%20local%20produce%20bag.jpg?
3,july%202020%20dphss%20bags/DPHSS%20coop%20letter.pdf,NA,Invalid URL 'july%202020%20dphss%20bags/DPHSS%20coop%20letter.pdf': No schema supplied. Perhaps you meant http://july%202020%20dphss%20bags/DPHSS%20coop%20letter.pdf?
3,july%202020%20dphss%20bags/DPHSS%20coop%20letter.pdf,NA,Invalid URL 'july%202020%20dphss%20bags/DPHSS%20coop%20letter.pdf': No schema supplied. Perhaps you meant http://july%202020%20dphss%20bags/DPHSS%20coop%20letter.pdf?
3,july%202020%20dphss%20bags/FCAG%20flyer%20for%20dphss.docx,NA,Invalid URL 'july%202020%20dphss%20bags/FCAG%20flyer%20for%20dphss.docx': No schema supplied. Perhaps you meant http://july%202020%20dphss%20bags/FCAG%20flyer%20for%20dphss.docx?
3,july%202020%20dphss%20bags/FCAG%20flyer%20for%20dphss.docx,NA,Invalid URL 'july%202020%20dphss%20bags/FCAG%20flyer%20for%20dphss.docx': No schema supplied. Perhaps you meant http://july%202020%20dphss%20bags/FCAG%20flyer%20for%20dphss.docx?
3,july%202020%20dphss%20bags/Letter%20of%20success%20from%20dphss.docx,NA,Invalid URL 'july%202020%20dphss%20bags/Letter%20of%20success%20from%20dphss.docx': No schema supplied. Perhaps you meant http://july%202020%20dphss%20bags/Letter%20of%20success%20from%20dphss.docx?
3,September%202021%20DPHS%20bags/Mail%20-%20JESSE%20P%20BAMBA%20-%20DPHSS.mhtml,NA,Invalid URL 'September%202021%20DPHS%20bags/Mail%20-%20JESSE%20P%20BAMBA%20-%20DPHSS.mhtml': No schema supplied. Perhaps you meant http://September%202021%20DPHS%20bags/Mail%20-%20JESSE%20P%20BAMBA%20-%20DPHSS.mhtml?
3,September%202021%20DPHS%20bags/FCAG%20Flyer%20for%20DPHSS%20FY2021%20(final%20edits).docx,NA,Invalid URL 'September%202021%20DPHS%20bags/FCAG%20Flyer%20for%20DPHSS%20FY2021%20(final%20edits).docx': No schema supplied. Perhaps you meant http://September%202021%20DPHS%20bags/FCAG%20Flyer%20for%20DPHSS%20FY2021%20(final%20edits).docx?
3,September%202021%20DPHS%20bags/Q211730142%20-%20Fully%20Executed%20Purchase%20Order%20-%20P216A05560%20-%20For%20FARMER%20S%20A....pdf,NA,Invalid URL 'September%202021%20DPHS%20bags/Q211730142%20-%20Fully%20Executed%20Purchase%20Order%20-%20P216A05560%20-%20For%20FARMER%20S%20A....pdf': No schema supplied. Perhaps you meant http://September%202021%20DPHS%20bags/Q211730142%20-%20Fully%20Executed%20Purchase%20Order%20-%20P216A05560%20-%20For%20FARMER%20S%20A....pdf?
3,September%202021%20DPHS%20bags/Q211730142%20-%20Fully%20Executed%20Purchase%20Order%20-%20P216A05560%20-%20For%20FARMER%20S%20A....pdf,NA,Invalid URL 'September%202021%20DPHS%20bags/Q211730142%20-%20Fully%20Executed%20Purchase%20Order%20-%20P216A05560%20-%20For%20FARMER%20S%20A....pdf': No schema supplied. Perhaps you meant http://September%202021%20DPHS%20bags/Q211730142%20-%20Fully%20Executed%20Purchase%20Order%20-%20P216A05560%20-%20For%20FARMER%20S%20A....pdf?
4,September%202021%20DPHS%20bags/Q211730143%20-%20Fully%20Executed%20Purchase%20Order%20-%20P216A05563%20-%20For%20FARMER%20S%20A....pdf,NA,Invalid URL 'September%202021%20DPHS%20bags/Q211730143%20-%20Fully%20Executed%20Purchase%20Order%20-%20P216A05563%20-%20For%20FARMER%20S%20A....pdf': No schema supplied. Perhaps you meant http://September%202021%20DPHS%20bags/Q211730143%20-%20Fully%20Executed%20Purchase%20Order%20-%20P216A05563%20-%20For%20FARMER%20S%20A....pdf?
4,September%202021%20DPHS%20bags/Q211730143%20-%20Fully%20Executed%20Purchase%20Order%20-%20P216A05563%20-%20For%20FARMER%20S%20A....pdf,NA,Invalid URL 'September%202021%20DPHS%20bags/Q211730143%20-%20Fully%20Executed%20Purchase%20Order%20-%20P216A05563%20-%20For%20FARMER%20S%20A....pdf': No schema supplied. Perhaps you meant http://September%202021%20DPHS%20bags/Q211730143%20-%20Fully%20Executed%20Purchase%20Order%20-%20P216A05563%20-%20For%20FARMER%20S%20A....pdf?
4,December%202021%20DPHS%20bags/DPHSS%20grab%20bags%20december%202021.pdf,NA,Invalid URL 'December%202021%20DPHS%20bags/DPHSS%20grab%20bags%20december%202021.pdf': No schema supplied. Perhaps you meant http://December%202021%20DPHS%20bags/DPHSS%20grab%20bags%20december%202021.pdf?
4,December%202021%20DPHS%20bags/PHSS%20proposal%202021%20mix%20bag2%20december.docx,NA,Invalid URL 'December%202021%20DPHS%20bags/PHSS%20proposal%202021%20mix%20bag2%20december.docx': No schema supplied. Perhaps you meant http://December%202021%20DPHS%20bags/PHSS%20proposal%202021%20mix%20bag2%20december.docx?
4,December%202021%20DPHS%20bags/Mtg%20Notes%20(Mixed%20Produce%20Bags)_12.15.21.pdf,NA,Invalid URL 'December%202021%20DPHS%20bags/Mtg%20Notes%20(Mixed%20Produce%20Bags)_12.15.21.pdf': No schema supplied. Perhaps you meant http://December%202021%20DPHS%20bags/Mtg%20Notes%20(Mixed%20Produce%20Bags)_12.15.21.pdf?
4,December%202021%20DPHS%20bags/Finalized%20Flyer-Mixed%20Produce%20Bags%20december%202021.pdf,NA,Invalid URL 'December%202021%20DPHS%20bags/Finalized%20Flyer-Mixed%20Produce%20Bags%20december%202021.pdf': No schema supplied. Perhaps you meant http://December%202021%20DPHS%20bags/Finalized%20Flyer-Mixed%20Produce%20Bags%20december%202021.pdf?
4,December%202021%20DPHS%20bags/Finalized%20Flyer-Mixed%20Produce%20Bags%20december%202021.pdf,NA,Invalid URL 'December%202021%20DPHS%20bags/Finalized%20Flyer-Mixed%20Produce%20Bags%20december%202021.pdf': No schema supplied. Perhaps you meant http://December%202021%20DPHS%20bags/Finalized%20Flyer-Mixed%20Produce%20Bags%20december%202021.pdf?
4,December%202021%20DPHS%20bags/ENP%20C1%20Mixed%20Local%20Produce%20Bags_12.17.21.pdf,NA,Invalid URL 'December%202021%20DPHS%20bags/ENP%20C1%20Mixed%20Local%20Produce%20Bags_12.17.21.pdf': No schema supplied. Perhaps you meant http://December%202021%20DPHS%20bags/ENP%20C1%20Mixed%20Local%20Produce%20Bags_12.17.21.pdf?
4,December%202021%20DPHS%20bags/ENP%20C1%20Mixed%20Local%20Produce%20Bags_12.17.21.pdf,NA,Invalid URL 'December%202021%20DPHS%20bags/ENP%20C1%20Mixed%20Local%20Produce%20Bags_12.17.21.pdf': No schema supplied. Perhaps you meant http://December%202021%20DPHS%20bags/ENP%20C1%20Mixed%20Local%20Produce%20Bags_12.17.21.pdf?
4,December%202021%20DPHS%20bags/ENP%20C2%20Mixed%20Local%20Produce%20Bags_12.17.21.pdf,NA,Invalid URL 'December%202021%20DPHS%20bags/ENP%20C2%20Mixed%20Local%20Produce%20Bags_12.17.21.pdf': No schema supplied. Perhaps you meant http://December%202021%20DPHS%20bags/ENP%20C2%20Mixed%20Local%20Produce%20Bags_12.17.21.pdf?
4,December%202021%20DPHS%20bags/Vendor%20Acknowledged_Q221730022%20-%20Fully%20Executed%20Purchase%20Order%20-%20.pdf,NA,Invalid URL 'December%202021%20DPHS%20bags/Vendor%20Acknowledged_Q221730022%20-%20Fully%20Executed%20Purchase%20Order%20-%20.pdf': No schema supplied. Perhaps you meant http://December%202021%20DPHS%20bags/Vendor%20Acknowledged_Q221730022%20-%20Fully%20Executed%20Purchase%20Order%20-%20.pdf?
4,December%202021%20DPHS%20bags/Vendor%20Acknowledged_Q221730022%20-%20Fully%20Executed%20Purchase%20Order%20-%20.pdf,NA,Invalid URL 'December%202021%20DPHS%20bags/Vendor%20Acknowledged_Q221730022%20-%20Fully%20Executed%20Purchase%20Order%20-%20.pdf': No schema supplied. Perhaps you meant http://December%202021%20DPHS%20bags/Vendor%20Acknowledged_Q221730022%20-%20Fully%20Executed%20Purchase%20Order%20-%20.pdf?
4,December%202021%20DPHS%20bags/Vendor%20Acknowledged_Q221730023%20-%20Fully%20Executed%20Purchase%20Order%20-%20P226.pdf,NA,Invalid URL 'December%202021%20DPHS%20bags/Vendor%20Acknowledged_Q221730023%20-%20Fully%20Executed%20Purchase%20Order%20-%20P226.pdf': No schema supplied. Perhaps you meant http://December%202021%20DPHS%20bags/Vendor%20Acknowledged_Q221730023%20-%20Fully%20Executed%20Purchase%20Order%20-%20P226.pdf?
4,December%202021%20DPHS%20bags/Vendor%20Acknowledged_Q221730023%20-%20Fully%20Executed%20Purchase%20Order%20-%20P226.pdf,NA,Invalid URL 'December%202021%20DPHS%20bags/Vendor%20Acknowledged_Q221730023%20-%20Fully%20Executed%20Purchase%20Order%20-%20P226.pdf': No schema supplied. Perhaps you meant http://December%202021%20DPHS%20bags/Vendor%20Acknowledged_Q221730023%20-%20Fully%20Executed%20Purchase%20Order%20-%20P226.pdf?
5,CORE%20Reviews%20schedule%20sep%202022/September%2021%20core%20workshop/Agenda%20for%20CORE%20PAT%20September%202022%201.pdf,NA,Invalid URL 'CORE%20Reviews%20schedule%20sep%202022/September%2021%20core%20workshop/Agenda%20for%20CORE%20PAT%20September%202022%201.pdf': No schema supplied. Perhaps you meant http://CORE%20Reviews%20schedule%20sep%202022/September%2021%20core%20workshop/Agenda%20for%20CORE%20PAT%20September%202022%201.pdf?
5,CORE%20Reviews%20schedule%20sep%202022/September%2021%20core%20workshop/Agenda%20for%20CORE%20PAT%20September%202022%201.pdf,NA,Invalid URL 'CORE%20Reviews%20schedule%20sep%202022/September%2021%20core%20workshop/Agenda%20for%20CORE%20PAT%20September%202022%201.pdf': No schema supplied. Perhaps you meant http://CORE%20Reviews%20schedule%20sep%202022/September%2021%20core%20workshop/Agenda%20for%20CORE%20PAT%20September%202022%201.pdf?
5,CORE%20Reviews%20schedule%20sep%202022/9%2021%202022%20evals%20sign%20in/9-21-2022%20core%20sign%20in%20sheet.pdf,NA,Invalid URL 'CORE%20Reviews%20schedule%20sep%202022/9%2021%202022%20evals%20sign%20in/9-21-2022%20core%20sign%20in%20sheet.pdf': No schema supplied. Perhaps you meant http://CORE%20Reviews%20schedule%20sep%202022/9%2021%202022%20evals%20sign%20in/9-21-2022%20core%20sign%20in%20sheet.pdf?
5,CORE%20Reviews%20schedule%20sep%202022/9%2021%202022%20evals%20sign%20in/9-21-2022%20core%20review%20evals.pdf,NA,Invalid URL 'CORE%20Reviews%20schedule%20sep%202022/9%2021%202022%20evals%20sign%20in/9-21-2022%20core%20review%20evals.pdf': No schema supplied. Perhaps you meant http://CORE%20Reviews%20schedule%20sep%202022/9%2021%202022%20evals%20sign%20in/9-21-2022%20core%20review%20evals.pdf?
5,Core%20Reviews%20schedule%20oct%202022/material%20for%20workshop%20pdf/Agenda%20for%20CORE%20PAT%20october%202022.pdf,NA,Invalid URL 'Core%20Reviews%20schedule%20oct%202022/material%20for%20workshop%20pdf/Agenda%20for%20CORE%20PAT%20october%202022.pdf': No schema supplied. Perhaps you meant http://Core%20Reviews%20schedule%20oct%202022/material%20for%20workshop%20pdf/Agenda%20for%20CORE%20PAT%20october%202022.pdf?
5,Core%20Reviews%20schedule%20oct%202022/material%20for%20workshop%20pdf/Agenda%20for%20CORE%20PAT%20october%202022.pdf,NA,Invalid URL 'Core%20Reviews%20schedule%20oct%202022/material%20for%20workshop%20pdf/Agenda%20for%20CORE%20PAT%20october%202022.pdf': No schema supplied. Perhaps you meant http://Core%20Reviews%20schedule%20oct%202022/material%20for%20workshop%20pdf/Agenda%20for%20CORE%20PAT%20october%202022.pdf?
5,file:///D:/Jesse%20Promotion%20and%20Tenure/Extension%20agent%20II%20production%20%20technologies%20and%20methods%20emerging%20issues%20in%20Agriculture/Promotion%20and%20tenure%20documents/jesse/Core%20Reviews%20schedule%20oct%202022/CORE%20TRAINING%20DAY%201%20(CHINESE).pdf,NA,No connection adapters were found for 'file:///D:/Jesse%20Promotion%20and%20Tenure/Extension%20agent%20II%20production%20%20technologies%20and%20methods%20emerging%20issues%20in%20Agriculture/Promotion%20and%20tenure%20documents/jesse/Core%20Reviews%20schedule%20oct%202022/CORE%20TRAINING%20DAY%201%20(CHINESE).pdf'
5,Core%20Reviews%20schedule%20oct%202022/evals%20translated/evals%20from%20Oct%20Core.pdf,NA,Invalid URL 'Core%20Reviews%20schedule%20oct%202022/evals%20translated/evals%20from%20Oct%20Core.pdf': No schema supplied. Perhaps you meant http://Core%20Reviews%20schedule%20oct%202022/evals%20translated/evals%20from%20Oct%20Core.pdf?
5,Farmer%20focus%20group%20june%202021/Head_Start_Agriculture_Guam%20(Proof%202%2029_08_2022).pdf,NA,Invalid URL 'Farmer%20focus%20group%20june%202021/Head_Start_Agriculture_Guam%20(Proof%202%2029_08_2022).pdf': No schema supplied. Perhaps you meant http://Farmer%20focus%20group%20june%202021/Head_Start_Agriculture_Guam%20(Proof%202%2029_08_2022).pdf?
5,Farmer%20focus%20group%20june%202021/Farmer%20focus%20group%202021%20hyatt.pdf,NA,Invalid URL 'Farmer%20focus%20group%20june%202021/Farmer%20focus%20group%202021%20hyatt.pdf': No schema supplied. Perhaps you meant http://Farmer%20focus%20group%20june%202021/Farmer%20focus%20group%202021%20hyatt.pdf?
6,electric%20fencing/Electric_Fencing.pdf,NA,Invalid URL 'electric%20fencing/Electric_Fencing.pdf': No schema supplied. Perhaps you meant http://electric%20fencing/Electric_Fencing.pdf?
6,../../workshops/IPM%20tomato%20workshop%20%207-13-22/IPM%20and%20Tomato%20Virus%20Workshop%20Agenda_draft%20(1).pdf,NA,Invalid URL '../../workshops/IPM%20tomato%20workshop%20%207-13-22/IPM%20and%20Tomato%20Virus%20Workshop%20Agenda_draft%20(1).pdf': No schema supplied. Perhaps you meant http://../../workshops/IPM%20tomato%20workshop%20%207-13-22/IPM%20and%20Tomato%20Virus%20Workshop%20Agenda_draft%20(1).pdf?
6,../../workshops/IPM%20tomato%20workshop%20%207-13-22/IPM%20and%20Tomato%20Virus%20Workshop%20Agenda_draft%20(1).pdf,NA,Invalid URL '../../workshops/IPM%20tomato%20workshop%20%207-13-22/IPM%20and%20Tomato%20Virus%20Workshop%20Agenda_draft%20(1).pdf': No schema supplied. Perhaps you meant http://../../workshops/IPM%20tomato%20workshop%20%207-13-22/IPM%20and%20Tomato%20Virus%20Workshop%20Agenda_draft%20(1).pdf?
6,EIPM%20tomato%20grant/IPM%20and%20Tomato%20Virus%20Workshop%20Sign-in%20Sheet.docx,NA,Invalid URL 'EIPM%20tomato%20grant/IPM%20and%20Tomato%20Virus%20Workshop%20Sign-in%20Sheet.docx': No schema supplied. Perhaps you meant http://EIPM%20tomato%20grant/IPM%20and%20Tomato%20Virus%20Workshop%20Sign-in%20Sheet.docx?
6,EIPM%20tomato%20grant/IPM%20and%20Tomato%20Virus%20Workshop_Evaluation%20Results%20from%20participants.pdf,NA,Invalid URL 'EIPM%20tomato%20grant/IPM%20and%20Tomato%20Virus%20Workshop_Evaluation%20Results%20from%20participants.pdf': No schema supplied. Perhaps you meant http://EIPM%20tomato%20grant/IPM%20and%20Tomato%20Virus%20Workshop_Evaluation%20Results%20from%20participants.pdf?
6,EIPM%20tomato%20grant/Post%20Workshop%20Evaluation%20Results_IPM%20and%20Tomato%20Virus%20Workshop.docx,NA,Invalid URL 'EIPM%20tomato%20grant/Post%20Workshop%20Evaluation%20Results_IPM%20and%20Tomato%20Virus%20Workshop.docx': No schema supplied. Perhaps you meant http://EIPM%20tomato%20grant/Post%20Workshop%20Evaluation%20Results_IPM%20and%20Tomato%20Virus%20Workshop.docx?
6,QCCC%20video/University%20of%20Guam%20Presents-%20Reinforcing%20A%20Sustainable%20Guam%20(1).mp4,NA,Invalid URL 'QCCC%20video/University%20of%20Guam%20Presents-%20Reinforcing%20A%20Sustainable%20Guam%20(1).mp4': No schema supplied. Perhaps you meant http://QCCC%20video/University%20of%20Guam%20Presents-%20Reinforcing%20A%20Sustainable%20Guam%20(1).mp4?
6,resident%20instruction/al%20485/AL-485%20Syllabus%20Spring%202022.pdf,NA,Invalid URL 'resident%20instruction/al%20485/AL-485%20Syllabus%20Spring%202022.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/AL-485%20Syllabus%20Spring%202022.pdf?
6,resident%20instruction/al%20485/AL-485L%20Syllabus%20Lab%20Spring%202022.pdf,NA,Invalid URL 'resident%20instruction/al%20485/AL-485L%20Syllabus%20Lab%20Spring%202022.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/AL-485L%20Syllabus%20Lab%20Spring%202022.pdf?
6,resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf,NA,Invalid URL 'resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf?
6,resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf,NA,Invalid URL 'resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf?
7,resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf,NA,Invalid URL 'resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf?
7,resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf,NA,Invalid URL 'resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL48501_UOG-Instructor-Report.pdf?
7,resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf,NA,Invalid URL 'resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf?
7,resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf,NA,Invalid URL 'resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf?
7,resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf,NA,Invalid URL 'resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf': No schema supplied. Perhaps you meant http://resident%20instruction/al%20485/BAMBA_JESSE_0013927_22-SP_AL485L01_UOG-Instructor-Report.pdf?
